Sorte;ZM;Datum;Betriebszeit;Gesamtenergie;Produktion;kWh/t;t/h
01;ZMA;2021-02-09 00:00:00;3.82;10639.81;372.2;28.586270822138633;97.43455497382199
01;ZMA;2021-02-17 00:00:00;17.29;24280.89;858.17;28.29379959681648;49.633892423366106
01;ZMA;2021-02-18 00:00:00;0.0;0.0;0.0;;
01;ZMA;2021-07-16 00:00:00;1.61;2212.74;68.62;32.24628388225007;42.62111801242236
01;ZMA;2021-07-29 00:00:00;1.47;1960.19;62.97;31.128950293790695;42.83673469387755
01;ZMA;2021-08-04 00:00:00;22.69;30574.2;929.48;32.893876145801954;40.96430145438519
01;ZMA;2021-08-05 00:00:00;7.01;9394.27;270.9;34.677999261720196;38.64479315263908
01;ZMA;2021-08-08 00:00:00;0.03;40.13;1.14;35.20175438596492;38.0
01;ZMA;2021-08-11 00:00:00;16.97;22945.86;660.2;34.75592244774311;38.903948143783154
01;ZMA;2021-08-12 00:00:00;23.98;32324.84;991.9;32.588809355781834;41.36363636363636
01;ZMA;2021-08-13 00:00:00;23.97;32184.71;1038.51;30.991237445956227;43.32540675844806
01;ZMA;2021-08-14 00:00:00;23.7;31805.41;1071.78;29.67531582974118;45.22278481012658
01;ZMA;2021-08-15 00:00:00;18.33;24562.42;838.42;29.296080723265188;45.740316421167485
01;ZMA;2021-08-16 00:00:00;0.0;0.0;0.0;;
01;ZMA;2021-08-18 00:00:00;2.4;3213.69;115.4;27.848266897746967;48.083333333333336
01;ZMA;2021-08-19 00:00:00;23.99;31726.43;1076.34;29.476215693925713;44.86619424760317
01;ZMA;2021-08-20 00:00:00;11.93;16071.34;553.34;29.04424043083818;46.38222967309304
01;ZMA;2021-08-21 00:00:00;2.66;3579.62;123.22;29.05064112968674;46.32330827067669
01;ZMA;2021-09-01 00:00:00;10.49;14072.61;456.18;30.84880968038932;43.48713060057197
01;ZMA;2021-09-02 00:00:00;20.07;26779.94;848.26;31.570438309009027;42.26507224713502
01;ZMA;2021-09-03 00:00:00;1.29;1716.56;49.9;34.4;38.68217054263566
01;ZMA;2021-09-05 00:00:00;16.45;22030.89;607.4;36.27081000987817;36.92401215805471
01;ZMA;2021-09-06 00:00:00;10.55;14087.9;422.36;33.35519462070272;40.03412322274881
01;ZMA;2021-09-07 00:00:00;15.58;20771.02;603.16;34.43699847469992;38.71373555840821
01;ZMA;2021-09-08 00:00:00;8.42;11234.39;310.24;36.21193269726663;36.84560570071259
01;ZMA;2021-09-11 00:00:00;6.31;8435.03;232.0;36.35788793103448;36.76703645007924
01;ZMA;2021-09-12 00:00:00;0.0;0.0;0.0;;
01;ZMA;2021-09-14 00:00:00;12.48;16893.95;434.3;38.89926318213217;34.79967948717949
01;ZMA;2021-09-15 00:00:00;17.04;23078.98;532.97;43.30258738765784;31.277582159624416
01;ZMA;2021-09-16 00:00:00;18.05;24379.3;562.14;43.3687337673889;31.14349030470914
01;ZMA;2021-09-17 00:00:00;22.83;30683.44;721.82;42.5084370064559;31.617170389837938
01;ZMA;2021-09-18 00:00:00;21.28;28676.11;630.63;45.472162757877044;29.63486842105263
01;ZMA;2021-09-19 00:00:00;24.0;32483.44;694.85;46.748852270274156;28.952083333333334
01;ZMA;2021-09-20 00:00:00;3.79;5106.05;111.39;45.83939312326062;29.390501319261215
01;ZMA;2021-09-23 00:00:00;16.33;22370.38;552.43;40.494506091269486;33.82914880587875
01;ZMA;2021-09-24 00:00:00;18.55;25421.97;616.33;41.24733503155777;33.22533692722372
01;ZMA;2021-09-25 00:00:00;23.99;32719.75;821.66;39.82151985005964;34.250104210087535
01;ZMA;2021-09-26 00:00:00;1.8;2454.46;61.4;39.974918566775244;34.11111111111111
01;ZMA;2021-09-30 00:00:00;10.56;14320.06;372.22;38.47203266885175;35.24810606060606
01;ZMA;2021-10-01 00:00:00;22.37;30176.11;820.48;36.77860520670827;36.6776933392937
01;ZMA;2021-10-02 00:00:00;10.12;13772.61;365.88;37.642423745490326;36.15415019762846
01;ZMA;2021-10-08 00:00:00;19.5;26193.31;759.73;34.47713003303805;38.96051282051282
01;ZMA;2021-10-09 00:00:00;24.0;32333.76;931.28;34.71969762047934;38.803333333333335
01;ZMA;2021-10-10 00:00:00;4.7;6245.54;183.55;34.0263688368292;39.0531914893617
01;ZMA;2021-10-14 00:00:00;14.39;18979.62;588.58;32.24645757586054;40.90201528839472
01;ZMA;2021-10-15 00:00:00;23.25;31097.77;977.12;31.825947682986737;42.026666666666664
01;ZMA;2021-10-16 00:00:00;24.0;31959.87;1018.94;31.36580171550827;42.45583333333334
01;ZMA;2021-10-17 00:00:00;20.71;27604.46;864.39;31.935191290968195;41.73780782230806
01;ZMA;2021-10-18 00:00:00;0.0;0.0;0.0;;
01;ZMA;2021-10-19 00:00:00;6.63;8777.39;285.73;30.7191754453505;43.09653092006034
01;ZMA;2021-10-20 00:00:00;19.65;25966.56;830.91;31.250749178611404;42.28549618320611
01;ZMA;2021-10-21 00:00:00;22.35;29458.92;942.84;31.24487717958508;42.185234899328854
01;ZMA;2021-10-22 00:00:00;11.15;14852.23;472.28;31.44793342932159;42.35695067264574
01;ZMA;2021-10-26 00:00:00;5.34;7071.34;226.4;31.233833922261486;42.39700374531835
01;ZMA;2021-10-27 00:00:00;24.0;32204.46;1014.91;31.731345636558906;42.28791666666667
01;ZMA;2021-10-28 00:00:00;0.8;1081.53;28.02;38.59850107066381;35.025
01;ZMA;2021-10-29 00:00:00;34.62;46380.57;1501.8;30.883320015980825;43.379549393414216
01;ZMA;2021-10-30 00:00:00;25.0;34632.8;1070.77;32.3438273392045;42.830799999999996
01;ZMA;2021-10-31 00:00:00;21.52;27360.51;814.98;33.572001766914525;37.87081784386617
01;ZMA;2021-11-01 00:00:00;7.86;10494.59;292.94;35.82504949819076;37.26972010178117
01;ZMA;2021-11-02 00:00:00;4.68;6251.59;187.28;33.38098035027766;40.01709401709402
01;ZMA;2021-11-03 00:00:00;24.0;31671.66;977.37;32.404984806163476;40.72375
01;ZMA;2021-11-04 00:00:00;22.49;29680.89;947.59;31.322502348061924;42.13383726100489
01;ZMA;2021-11-05 00:00:00;17.47;22923.57;763.26;30.03376306894112;43.68975386376646
01;ZMA;2021-11-06 00:00:00;5.45;7126.75;243.3;29.292026304973284;44.642201834862384
01;ZMA;2021-11-11 00:00:00;15.64;21315.92;647.24;32.9335640566096;41.38363171355498
01;ZMA;2021-11-12 00:00:00;22.66;30903.5;941.94;32.80835297365012;41.568402471315096
01;ZMA;2021-11-13 00:00:00;24.0;32858.92;1011.39;32.488871750758854;42.14125
01;ZMA;2021-11-14 00:00:00;23.73;32847.77;1015.78;32.337484494674044;42.805731142014324
01;ZMA;2021-11-15 00:00:00;4.26;5909.87;183.86;32.14331556619167;43.15962441314554
01;ZMA;2021-11-16 00:00:00;7.16;9681.85;303.62;31.888050853039985;42.40502793296089
01;ZMA;2021-11-17 00:00:00;24.0;32172.61;1024.86;31.392199910231646;42.70249999999999
01;ZMA;2021-11-18 00:00:00;22.45;30103.82;926.18;32.503206720076015;41.25523385300668
01;ZMA;2021-11-19 00:00:00;22.3;29892.99;899.62;33.22846312887664;40.341704035874436
01;ZMA;2021-11-20 00:00:00;23.99;32169.11;976.49;32.94361437393112;40.70404335139642
01;ZMA;2021-11-21 00:00:00;24.0;32023.89;966.76;33.12496379659895;40.281666666666666
01;ZMA;2021-11-22 00:00:00;15.83;21286.62;651.57;32.669736175698695;41.160454832596336
01;ZMA;2021-11-23 00:00:00;24.0;32266.24;982.22;32.850318665879335;40.92583333333334
01;ZMA;2021-11-24 00:00:00;17.12;22786.62;744.84;30.592637344933138;43.507009345794394
01;ZMA;2021-11-25 00:00:00;18.22;24042.36;833.08;28.859605320017284;45.723380900109774
01;ZMA;2021-11-26 00:00:00;23.99;31727.71;1080.32;29.368807390402843;45.032096706961234
01;ZMA;2021-11-27 00:00:00;24.0;32586.94;1033.88;31.519073780322664;43.07833333333334
01;ZMA;2021-11-28 00:00:00;24.0;32311.46;1044.44;30.9366359005783;43.51833333333334
01;ZMA;2021-11-29 00:00:00;8.26;11160.51;356.94;31.267187762649186;43.21307506053269
01;ZMA;2021-11-30 00:00:00;1.94;2659.24;81.72;32.54087126774351;42.123711340206185
01;ZMA;2021-12-01 00:00:00;20.41;27804.14;864.8;32.15094819611471;42.37138657520823
01;ZMA;2021-12-02 00:00:00;21.01;28309.55;926.08;30.56922728058051;44.07805806758686
01;ZMA;2021-12-03 00:00:00;19.05;25741.4;831.3;30.965235173824134;43.63779527559055
01;ZMA;2021-12-04 00:00:00;24.0;32477.07;1014.26;32.02045826513912;42.26083333333333
01;ZMA;2021-12-05 00:00:00;23.28;31357.96;1006.44;31.157306943285242;43.2319587628866
01;ZMA;2021-12-06 00:00:00;12.81;17257.32;561.9;30.712439935931663;43.86416861826697
01;ZMA;2021-12-07 00:00:00;0.72;969.75;28.47;34.06217070600633;39.541666666666664
01;ZMA;2021-12-12 00:00:00;15.42;21250.96;681.84;31.16707732019242;44.217898832684824
01;ZMA;2021-12-13 00:00:00;19.39;26534.71;883.38;30.037707441870996;45.55853532748839
01;ZMA;2021-12-14 00:00:00;7.49;10320.38;352.24;29.29928457869634;47.02803738317757
01;ZMA;2021-12-15 00:00:00;9.2;12748.41;435.3;29.286492074431425;47.31521739130435
01;ZMA;2021-12-16 00:00:00;11.97;16664.65;567.05;29.38832554448462;47.37259816207184
01;ZMA;2021-12-17 00:00:00;8.67;12175.8;417.87;29.137770119893744;48.19723183391004
01;ZMA;2021-12-18 00:00:00;19.41;26491.4;915.2;28.946022727272727;47.15095311695003
01;ZMA;2021-12-19 00:00:00;0.0;0.0;0.0;;
01;ZMA;2021-12-20 00:00:00;3.12;4396.5;165.57;26.553723500634174;53.067307692307686
01;ZMA;2021-12-21 00:00:00;3.75;5326.75;67.04;79.45629474940334;17.877333333333336
01;ZMA;2022-02-10 00:00:00;3.53;4598.09;156.43;29.393914210829124;44.31444759206799
01;ZMA;2022-02-11 00:00:00;24.0;31138.85;1132.06;27.506360086921188;47.16916666666666
01;ZMA;2022-02-12 00:00:00;5.3;6875.48;244.65;28.10333128959738;46.16037735849057
01;ZMA;2022-02-13 00:00:00;7.8;10121.34;353.58;28.625318174104873;45.33076923076923
01;ZMA;2022-02-17 00:00:00;21.69;28052.55;934.28;30.025848781949737;43.074227754725676
01;ZMA;2022-02-18 00:00:00;23.99;30844.27;1074.27;28.711841529596843;44.77990829512297
01;ZMA;2022-02-19 00:00:00;23.81;30591.08;1044.46;29.288895697298127;43.86644267114658
01;ZMA;2022-02-20 00:00:00;3.78;4858.92;163.9;29.64563758389262;43.35978835978836
01;ZMA;2022-02-21 00:00:00;15.55;20055.73;619.1;32.39497657890486;39.81350482315113
01;ZMA;2022-02-22 00:00:00;23.59;30400.0;979.88;31.024207045760704;41.53793980500212
01;ZMA;2022-02-23 00:00:00;8.33;10766.24;352.14;30.57374907707162;42.27370948379352
01;ZMA;2022-02-25 00:00:00;23.41;30183.12;1017.62;29.660501955543324;43.46945749679624
01;ZMA;2022-02-26 00:00:00;22.52;29123.25;894.02;32.57561352095031;39.698934280639435
01;ZMA;2022-02-27 00:00:00;22.22;28607.32;883.2;32.39053442028985;39.74797479747975
01;ZMA;2022-02-28 00:00:00;23.24;29965.29;926.08;32.35712897373877;39.848537005163514
01;ZMA;2022-03-01 00:00:00;4.41;5672.61;179.15;31.664024560424224;40.62358276643991
01;ZMA;2022-03-03 00:00:00;7.17;9255.41;258.98;35.73793343115298;36.11994421199442
01;ZMA;2022-03-04 00:00:00;17.99;23277.07;668.2;34.83548338820712;37.142857142857146
01;ZMA;2022-03-05 00:00:00;0.0;0.0;0.0;;
01;ZMA;2022-03-06 00:00:00;9.37;11996.82;371.26;32.31379626138016;39.6221985058698
01;ZMA;2022-03-07 00:00:00;15.32;19737.26;678.46;29.091265513073722;44.28590078328982
01;ZMA;2022-03-08 00:00:00;16.96;21787.58;759.19;28.698454932230405;44.76356132075472
01;ZMA;2022-03-09 00:00:00;0.0;0.0;0.0;;
01;ZMA;2022-03-25 00:00:00;3.17;4255.41;123.88;34.35106554730384;39.078864353312305
01;ZMA;2022-03-27 00:00:00;12.81;16665.92;550.71;30.26260645348731;42.99063231850117
01;ZMA;2022-03-28 00:00:00;23.78;30982.8;1023.56;30.269647113994296;43.04289318755256
01;ZMA;2022-03-29 00:00:00;8.73;11372.93;382.05;29.768171705274177;43.76288659793814
01;ZMA;2022-03-30 00:00:00;18.43;23724.2;788.52;30.086998427433674;42.78459034183397
01;ZMA;2022-03-31 00:00:00;24.0;30605.73;1000.3;30.596551034689593;41.67916666666667
01;ZMA;2022-04-01 00:00:00;23.81;30393.63;975.18;31.16719990155664;40.956740865182695
01;ZMA;2022-04-02 00:00:00;23.74;30341.4;987.72;30.718624711456687;41.60572872788543
01;ZMA;2022-04-03 00:00:00;1.74;2247.13;73.74;30.47369134797939;42.37931034482758
01;ZMA;2022-04-04 00:00:00;17.25;22287.58;722.94;30.829086784518772;41.90956521739131
01;ZMA;2022-04-05 00:00:00;24.0;30844.27;984.62;31.326064877820887;41.02583333333333
01;ZMA;2022-04-06 00:00:00;24.0;30745.22;961.88;31.963675302532543;40.07833333333333
01;ZMA;2022-04-07 00:00:00;24.0;30728.98;963.37;31.897381068540643;40.14041666666667
01;ZMA;2022-04-08 00:00:00;24.0;30578.98;988.28;30.941615736430972;41.178333333333335
01;ZMA;2022-04-09 00:00:00;24.0;30506.69;1008.56;30.247769096533673;42.02333333333333
01;ZMA;2022-04-10 00:00:00;24.0;30529.94;996.88;30.625491533584782;41.53666666666667
01;ZMA;2022-04-11 00:00:00;24.0;30737.9;995.83;30.86661377946035;41.492916666666666
01;ZMA;2022-04-12 00:00:00;24.0;30119.11;845.42;35.62620945802087;35.225833333333334
01;ZMA;2022-04-13 00:00:00;24.0;30489.49;909.06;33.53957934569776;37.8775
01;ZMA;2022-04-14 00:00:00;24.0;30307.32;964.67;31.41729296028694;40.194583333333334
01;ZMA;2022-04-15 00:00:00;17.17;22024.84;711.74;30.945064208840307;41.45253348864298
01;ZMA;2022-04-16 00:00:00;23.98;30765.29;996.64;30.869009873173866;41.56130108423686
01;ZMA;2022-04-17 00:00:00;24.0;30832.8;950.66;32.4330465150527;39.61083333333333
01;ZMA;2022-04-18 00:00:00;1.95;2472.93;79.68;31.03576807228915;40.861538461538466
01;ZMA;2022-04-19 00:00:00;0.14;171.34;3.14;54.566878980891715;22.428571428571427
01;ZMA;2022-04-20 00:00:00;16.55;21208.92;676.92;31.33150150682503;40.901510574018126
01;ZMA;2022-04-21 00:00:00;0.0;0.0;0.0;;
01;ZMA;2022-04-29 00:00:00;13.09;16192.99;523.26;30.94635554026679;39.97402597402597
01;ZMA;2022-04-30 00:00:00;23.2;28800.64;921.56;31.252050870263467;39.72241379310345
01;ZMA;2022-05-01 00:00:00;14.5;18030.25;576.66;31.266690944403983;39.76965517241379
01;ZMA;2022-05-02 00:00:00;9.63;11914.97;395.74;30.108076009501186;41.0944963655244
01;ZMA;2022-05-03 00:00:00;24.0;29536.31;994.58;29.697269199058898;41.44083333333334
01;ZMA;2022-05-04 00:00:00;11.95;14974.2;477.78;31.341203064171797;39.981589958159
01;ZMA;2022-05-05 00:00:00;24.0;29759.24;951.42;31.278762271131576;39.6425
01;ZMA;2022-05-06 00:00:00;24.0;29622.93;926.74;31.96466106998727;38.61416666666667
01;ZMA;2022-05-07 00:00:00;8.82;10870.7;346.21;31.399150804425062;39.25283446712018
01;ZMA;2022-05-09 00:00:00;7.36;9287.26;309.0;30.055857605177994;41.983695652173914
01;ZMA;2022-05-10 00:00:00;23.69;29495.22;978.84;30.13283069756038;41.31869987336429
01;ZMA;2022-05-11 00:00:00;23.22;29742.99;899.3;33.073490492605366;38.72954349698536
01;ZMA;2022-05-12 00:00:00;14.24;18438.85;569.04;32.403433853507664;39.960674157303366
01;ZMA;2022-05-13 00:00:00;24.0;30627.07;934.7;32.766737990799186;38.94583333333333
01;ZMA;2022-05-14 00:00:00;8.96;11341.08;333.53;34.003178124906306;37.224330357142854
01;ZMA;2022-05-18 00:00:00;8.84;11355.1;320.63;35.41496428905592;36.27036199095023
01;ZMA;2022-05-19 00:00:00;22.4;28232.48;870.36;32.437703938600116;38.855357142857144
01;ZMA;2022-05-20 00:00:00;24.0;29619.43;909.45;32.56850843916653;37.893750000000004
01;ZMA;2022-05-21 00:00:00;24.0;29535.03;911.64;32.397689877583254;37.985
01;ZMA;2022-05-22 00:00:00;12.41;15216.88;477.68;31.85580304806565;38.49153908138598
01;ZMA;2022-05-23 00:00:00;14.62;17940.76;552.88;32.4496454926928;37.81668946648427
01;ZMA;2022-05-24 00:00:00;24.0;29432.17;905.12;32.51742310411879;37.71333333333333
01;ZMA;2022-05-25 00:00:00;24.0;29428.66;911.1;32.30014268466689;37.9625
01;ZMA;2022-05-26 00:00:00;24.0;29440.13;916.78;32.11253517746897;38.19916666666666
01;ZMA;2022-05-27 00:00:00;15.79;19322.29;604.04;31.988427918680884;38.25459151361621
01;ZMA;2022-05-28 00:00:00;12.16;14807.64;467.5;31.67409625668449;38.44572368421053
01;ZMA;2022-05-31 00:00:00;18.3;22453.5;686.84;32.69101974258925;37.53224043715847
01;ZMA;2022-06-01 00:00:00;23.8;29005.1;854.84;33.93044312385943;35.917647058823526
01;ZMA;2022-06-02 00:00:00;23.63;28950.32;858.0;33.741631701631704;36.30977570884469
01;ZMA;2022-06-03 00:00:00;24.0;29374.2;862.44;34.05941282871852;35.935
01;ZMA;2022-06-04 00:00:00;24.0;29419.11;866.26;33.96106249855702;36.094166666666666
01;ZMA;2022-06-05 00:00:00;24.0;29354.78;888.14;33.05197378791632;37.005833333333335
01;ZMA;2022-06-06 00:00:00;9.95;12242.99;376.9;32.483390819846115;37.879396984924625
01;ZMA;2022-06-08 00:00:00;12.75;15603.5;489.38;31.884220850872534;38.382745098039216
01;ZMA;2022-06-09 00:00:00;24.0;29290.45;906.24;32.32085319562147;37.76
01;ZMA;2022-06-10 00:00:00;24.0;29308.28;871.41;33.63316923147543;36.308749999999996
01;ZMA;2022-06-11 00:00:00;24.0;29266.24;863.9;33.87688389859938;35.99583333333333
01;ZMA;2022-06-12 00:00:00;4.37;5327.39;161.66;32.954286774712365;36.993135011441645
01;ZMA;2022-06-13 00:00:00;0.39;476.11;5.75;82.80173913043478;14.743589743589743
01;ZMA;2022-06-14 00:00:00;15.03;18518.47;543.59;34.06698062878272;36.166999334664006
01;ZMA;2022-06-15 00:00:00;11.99;14724.52;408.14;36.0771303964326;34.04003336113428
01;ZMA;2022-06-16 00:00:00;24.0;29368.79;852.51;34.4497894452851;35.52125
01;ZMA;2022-06-17 00:00:00;11.93;14480.57;438.2;33.04557279780922;36.73093042749371
01;ZMA;2022-06-18 00:00:00;8.98;10858.28;309.77;35.05271653162024;34.49554565701558
01;ZMA;2022-06-19 00:00:00;3.22;3952.55;114.91;34.39691932816987;35.6863354037267
01;ZMA;2022-06-20 00:00:00;12.55;15245.86;448.82;33.968762532863956;35.76254980079681
01;ZMA;2022-06-21 00:00:00;24.0;29154.78;879.42;33.152282185986216;36.6425
01;ZMA;2022-06-22 00:00:00;23.99;29166.24;811.89;35.92388131397111;33.842851187995
01;ZMA;2022-06-23 00:00:00;24.0;29206.69;784.08;37.24963013978165;32.67
01;ZMA;2022-06-24 00:00:00;24.0;29170.38;780.64;37.367262758762045;32.526666666666664
01;ZMA;2022-06-25 00:00:00;23.77;28893.63;812.3;35.57014649759941;34.173327724021874
01;ZMA;2022-06-26 00:00:00;4.96;6008.92;179.32;33.509480258755296;36.15322580645161
01;ZMA;2022-06-28 00:00:00;21.97;26741.4;822.93;32.49535197404397;37.456986800182065
01;ZMA;2022-06-29 00:00:00;23.2;28145.22;846.09;33.26504272595114;36.46939655172414
01;ZMA;2022-06-30 00:00:00;23.05;27960.51;842.24;33.19779397796352;36.53969631236443
01;ZMA;2022-07-01 00:00:00;23.98;29068.47;891.64;32.60112825804136;37.18265221017514
01;ZMA;2022-07-02 00:00:00;23.79;28519.75;892.08;31.96994664155681;37.49810844892812
01;ZMA;2022-07-03 00:00:00;24.0;29116.24;893.66;32.58089206185798;37.23583333333333
01;ZMA;2022-07-04 00:00:00;23.25;28199.04;867.51;32.50572327696511;37.31225806451613
01;ZMA;2022-07-05 00:00:00;23.99;29651.91;921.68;32.1715888377745;38.41934139224677
01;ZMA;2022-07-06 00:00:00;21.32;26875.16;750.46;35.811582229565865;35.19981238273921
01;ZMA;2022-07-07 00:00:00;0.0;0.0;0.0;;
01;ZMA;2022-07-08 00:00:00;7.37;9331.85;299.38;31.17058587748013;40.62143826322931
01;ZMA;2022-07-09 00:00:00;15.6;19767.83;631.67;31.294552535342827;40.49166666666667
01;ZMA;2022-07-10 00:00:00;24.0;30238.54;943.54;32.047968289632664;39.314166666666665
01;ZMA;2022-07-11 00:00:00;17.01;21319.11;658.84;32.35855442899642;38.73251028806584
01;ZMA;2022-07-12 00:00:00;12.98;16300.96;484.34;33.65602675806252;37.31432973805855
01;ZMA;2022-07-15 00:00:00;21.03;26507.64;792.8;33.43546922300707;37.698525915359006
01;ZMA;2022-07-16 00:00:00;23.51;30016.24;911.15;32.943247544312136;38.75584857507443
01;ZMA;2022-07-17 00:00:00;21.22;27198.41;802.7;33.8836551638221;37.82752120640905
01;ZMA;2022-07-18 00:00:00;16.21;20723.89;628.06;32.99667229245614;38.7452190006169
01;ZMA;2022-07-19 00:00:00;20.62;26195.54;810.12;32.335382412482105;39.28806983511154
01;ZMA;2022-07-20 00:00:00;24.0;30264.33;928.04;32.61101892159821;38.66833333333333
01;ZMA;2022-07-21 00:00:00;24.0;30185.35;922.27;32.729406789768724;38.42791666666667
01;ZMA;2022-07-22 00:00:00;24.0;29502.55;889.38;33.17204119723853;37.0575
01;ZMA;2022-07-23 00:00:00;10.13;12301.27;371.03;33.15438104735467;36.626850937808484
01;ZMA;2022-07-26 00:00:00;7.22;8729.94;264.93;32.95187407994565;36.69390581717452
01;ZMA;2022-07-27 00:00:00;24.0;29287.26;839.76;34.87575021434696;34.99
01;ZMA;2022-07-28 00:00:00;24.0;30717.83;925.14;33.203439479430145;38.5475
01;ZMA;2022-07-29 00:00:00;24.0;30733.76;902.36;34.05931113967817;37.598333333333336
01;ZMA;2022-07-30 00:00:00;16.81;21633.44;600.58;36.02091311731992;35.72754312908983
01;ZMA;2022-07-31 00:00:00;22.29;28655.73;729.48;39.2824066458299;32.72678331090175
01;ZMA;2022-08-01 00:00:00;8.15;10546.5;239.28;44.075977933801404;29.359509202453985
01;ZMA;2022-08-03 00:00:00;13.66;17777.07;531.57;33.44257576612675;38.91434846266472
01;ZMA;2022-08-04 00:00:00;17.08;21896.82;600.62;36.457027738004065;35.16510538641687
01;ZMA;2022-08-05 00:00:00;23.99;31054.14;805.44;38.55549761620977;33.5739891621509
01;ZMA;2022-08-06 00:00:00;24.0;31027.39;777.16;39.9240696896392;32.38166666666667
01;ZMA;2022-08-07 00:00:00;24.0;30849.04;771.29;39.99668088527014;32.13708333333333
01;ZMA;2022-08-08 00:00:00;17.36;21907.96;563.72;38.863194493720286;32.47235023041475
01;ZMA;2022-08-09 00:00:00;20.49;26196.18;661.62;39.59399655391312;32.28989751098097
01;ZMA;2022-08-10 00:00:00;4.71;5951.59;151.7;39.23263019116678;32.20806794055201
01;ZMA;2022-08-11 00:00:00;13.05;16458.92;431.86;38.11170286666975;33.09272030651341
01;ZMA;2022-08-12 00:00:00;23.82;30367.83;944.52;32.15160081311142;39.65239294710327
01;ZMA;2022-08-13 00:00:00;24.0;30625.8;942.32;32.50042448425163;39.263333333333335
01;ZMA;2022-08-14 00:00:00;24.0;30404.46;934.63;32.53101227223607;38.94291666666667
01;ZMA;2022-08-15 00:00:00;16.92;21477.07;660.66;32.50850664487028;39.046099290780134
01;ZMA;2022-08-23 00:00:00;15.8;20255.1;692.25;29.259804983748644;43.813291139240505
01;ZMA;2022-08-24 00:00:00;24.0;30950.0;1046.98;29.561214158818697;43.62416666666667
01;ZMA;2022-08-25 00:00:00;24.0;30648.41;1043.12;29.381480558325027;43.46333333333333
01;ZMA;2022-08-26 00:00:00;24.0;30480.89;1026.51;29.693709754410577;42.77125
01;ZMA;2022-08-27 00:00:00;24.0;30463.38;1032.29;29.510486394327177;43.01208333333333
01;ZMA;2022-08-28 00:00:00;5.51;6980.25;240.42;29.03356625904667;43.633393829401086
01;ZMA;2022-08-29 00:00:00;5.73;7320.06;252.53;28.986892646418248;44.07155322862129
01;ZMA;2022-08-30 00:00:00;14.62;18567.83;612.45;30.317299371377256;41.89124487004104
01;ZMA;2022-08-31 00:00:00;22.23;28432.17;911.13;31.20539330282177;40.986504723346826
01;ZMA;2022-09-01 00:00:00;14.82;18868.47;606.36;31.117603403918466;40.91497975708502
01;ZMA;2022-09-02 00:00:00;20.59;26244.9;813.24;32.272023019034975;39.49684312773191
01;ZMA;2022-09-03 00:00:00;24.0;30308.92;935.73;32.39066824831949;38.98875
01;ZMA;2022-09-04 00:00:00;23.55;29750.0;919.38;32.35876351454241;39.03949044585987
01;ZMA;2022-09-05 00:00:00;18.85;23713.06;721.42;32.869978653211724;38.271618037135276
01;ZMA;2022-09-06 00:00:00;24.0;30059.24;895.98;33.54900779035246;37.3325
01;ZMA;2022-09-07 00:00:00;12.34;15491.72;446.66;34.683472887655036;36.19611021069692
01;ZMA;2022-09-09 00:00:00;15.39;19280.25;627.26;30.737254089213405;40.757634827810264
01;ZMA;2022-09-10 00:00:00;24.0;30112.1;963.59;31.249909193744223;40.14958333333333
01;ZMA;2022-09-11 00:00:00;22.75;28516.88;906.24;31.46724929378531;39.83472527472527
01;ZMA;2022-09-12 00:00:00;0.0;0.0;0.0;;
01;ZMA;2022-09-13 00:00:00;21.58;26942.99;833.62;32.320469758403114;38.62928637627433
01;ZMA;2022-09-14 00:00:00;22.81;28369.43;899.62;31.534903625975414;39.43971942130645
01;ZMA;2022-09-15 00:00:00;24.0;29910.51;950.46;31.469509500662834;39.6025
01;ZMA;2022-09-16 00:00:00;24.0;29894.27;932.6;32.05476088355136;38.858333333333334
01;ZMA;2022-09-17 00:00:00;24.0;29946.82;928.18;32.26402206468573;38.674166666666665
01;ZMA;2022-09-18 00:00:00;3.07;3825.8;118.04;32.41104710267706;38.44951140065147
01;ZMA;2022-09-19 00:00:00;13.65;17180.25;530.54;32.38257247332906;38.867399267399264
01;ZMA;2022-09-20 00:00:00;23.99;29982.17;882.66;33.96797181247592;36.79283034597749
01;ZMA;2022-09-21 00:00:00;24.0;29891.08;885.11;33.77103410875485;36.879583333333336
01;ZMA;2022-09-22 00:00:00;22.84;28411.15;857.94;33.11554421055085;37.5630472854641
01;ZMA;2022-09-23 00:00:00;0.0;0.0;0.0;;
01;ZMA;2022-09-24 00:00:00;11.31;12433.44;378.08;32.88573846804909;33.4288240495137
01;ZMA;2022-09-25 00:00:00;13.28;16436.31;496.62;33.09635133502477;37.3960843373494
01;ZMA;2022-09-26 00:00:00;15.3;18975.16;580.64;32.67973270873519;37.95032679738562
01;ZMA;2022-09-27 00:00:00;5.99;7490.13;220.18;34.01821237169588;36.757929883138566
01;ZMA;2022-09-28 00:00:00;15.62;19478.03;540.38;36.04506088308227;34.59539052496799
01;ZMA;2022-09-29 00:00:00;21.51;26266.56;723.78;36.29080659869021;33.64853556485355
01;ZMA;2022-09-30 00:00:00;21.35;25966.88;740.82;35.05153748548905;34.698829039812644
01;ZMA;2022-10-01 00:00:00;24.0;29107.64;853.06;34.12144515039974;35.54416666666666
01;ZMA;2022-10-02 00:00:00;23.46;28528.03;824.77;34.5890733174097;35.15643648763853
01;ZMA;2022-10-03 00:00:00;24.0;29142.68;815.1;35.75350263771316;33.9625
